,Общая площадь,Долгота,Состояние,Широта,Количество комнат,Количество просмотров,Всего этажей,Серия,Этаж,Длина описания,Год постройки,Высота потолков,Мебель,Возможность обмена,Отопление,Тип предложения,Санузел,кондиционер
0,160.0,74.6148,939,42.8167,4.0,501,8.0,2728,4.0,926,-999.0,3.3,716,3843,861,2623,409,0
1,74.0,74.6401,1372,42.8502,2.0,247,10.0,2728,3.0,213,2017.0,-999.0,771,3843,277,2623,1775,1
2,116.0,74.6214,1372,42.8295,3.0,557,10.0,2728,2.0,631,2017.0,3.0,1148,3843,4104,2623,1775,0
3,42.0,74.6227,1510,42.8313,2.0,157,4.0,374,1.0,261,-999.0,-999.0,1148,3843,4104,2623,1229,0
4,85.0,74.5821,1372,42.8409,3.0,91,12.0,2728,7.0,742,-999.0,3.0,716,3843,26,2623,1775,0
5,65.0,74.5786,939,42.8833,2.0,142,10.0,2728,5.0,428,2020.0,3.0,716,3843,272,2623,1775,0
6,89.0,74.5896,1372,42.8732,2.0,63,14.0,2728,8.0,749,-999.0,3.0,771,3843,4104,3143,1775,0
7,33.0,74.6258,338,42.8391,1.0,248,4.0,374,4.0,317,-999.0,-999.0,1148,3843,4104,2623,1229,0
8,18.0,74.6282,338,42.8648,1.0,243,4.0,1189,1.0,218,-999.0,2.7,3131,3843,861,2623,1229,0
9,57.0,74.6286,1510,42.8276,3.0,173,4.0,51,3.0,194,1972.0,-999.0,1148,3843,4104,2623,2341,0
10,122.4,74.5688,1257,42.834,4.0,626,9.0,1189,2.0,224,2009.0,-999.0,3131,3843,4104,2623,409,0
11,77.0,74.5765,1372,42.8428,2.0,275,10.0,2728,7.0,264,2016.0,3.0,771,3843,4104,3143,1775,1
12,144.0,74.6149,939,42.8228,4.0,122,15.0,2728,9.0,899,-999.0,3.3,716,3843,272,2623,409,0
13,47.0,74.6166,1510,42.8369,1.0,665,10.0,2728,6.0,282,2020.0,-999.0,716,3843,4104,3143,1775,0
14,107.0,74.5804,1372,42.8803,3.0,461,10.0,2728,8.0,373,2019.0,3.0,771,3843,4104,2623,1775,0
15,57.0,74.5395,939,42.8581,2.0,211,10.0,2728,6.0,338,2021.0,3.0,716,3843,4104,2623,1229,0
16,106.0,74.6478,1510,42.8151,3.0,344,9.0,208,6.0,348,2016.0,2.8,1148,3843,272,2623,1775,1
17,125.0,74.6351,1372,42.8161,3.0,49,13.0,2728,6.0,532,-999.0,3.0,1148,3843,4104,2623,1775,0
18,176.25,74.6019,939,42.8656,4.0,56,14.0,2728,8.0,800,-999.0,3.0,716,3843,4104,2623,409,0
19,71.0,74.5822,1372,42.8403,2.0,645,12.0,2728,4.0,756,-999.0,3.0,771,3843,4104,3143,1775,0
20,66.7,74.5804,1372,42.872,3.0,904,5.0,1189,3.0,172,1980.0,-999.0,3131,3843,4104,2623,1775,0
21,68.0,74.6122,939,42.8212,2.0,41,12.0,2728,10.0,450,2021.0,3.0,716,3843,4104,3143,1775,0
22,87.0,74.5926,939,42.8721,3.0,645,13.0,2728,2.0,950,2020.0,3.0,3131,3843,4104,3143,409,0
23,39.0,74.5883,1372,42.8626,1.0,121,12.0,2728,10.0,1471,2019.0,3.0,716,3843,4104,3143,1229,0
24,61.1,74.6368,338,42.8174,3.0,918,9.0,473,5.0,253,1991.0,-999.0,1148,3843,4104,2623,1775,0
25,44.0,74.5491,1510,42.8636,2.0,239,2.0,56,2.0,205,-999.0,3.0,771,721,277,2623,1229,0
26,-999.0,74.5898,1372,42.8697,6.0,293,6.0,2728,6.0,348,2010.0,3.0,1148,721,4104,2623,409,0
27,50.0,74.6311,1372,42.8146,2.0,121,5.0,473,2.0,302,-999.0,-999.0,1148,3843,4104,3143,1775,0
28,74.0,74.6346,1510,42.8425,3.0,865,9.0,473,4.0,155,1990.0,-999.0,3131,3843,861,2623,2341,0
29,110.0,74.6003,1372,42.8822,4.0,1,13.0,2728,11.0,1049,-999.0,3.2,771,3843,4104,2623,409,0
30,66.6,74.6331,1372,42.8448,2.0,891,9.0,208,2.0,194,2018.0,-999.0,1148,3843,277,2623,1775,0
31,111.6,74.624,1510,42.8188,3.0,1131,6.0,1189,5.0,259,2011.0,-999.0,3131,3843,4104,2623,1775,0
32,67.5,74.6413,1372,42.8355,2.0,908,9.0,311,6.0,190,2015.0,-999.0,3131,3843,277,2623,2341,0
33,120.0,74.6103,1372,42.8724,3.0,895,12.0,1189,8.0,312,2013.0,-999.0,716,3843,4104,2623,409,0
34,58.0,74.618,1372,42.8376,3.0,1068,4.0,374,4.0,135,1964.0,-999.0,1148,3843,4104,2623,1229,1
35,64.0,74.6078,1372,42.8578,2.0,14,10.0,2728,2.0,1362,2016.0,3.0,1148,909,4104,2623,1775,0
36,176.0,74.5683,1510,42.8344,5.0,748,10.0,1189,9.0,243,2016.0,-999.0,3131,3843,4104,2623,409,0
37,82.2,74.5742,1257,42.83,3.0,874,13.0,1189,2.0,210,2016.0,-999.0,3131,3843,4104,2623,1775,0
38,57.0,74.606,1510,42.8372,3.0,1021,4.0,374,4.0,200,1963.0,-999.0,3131,3843,4104,2623,1229,0
39,184.0,74.6076,1372,42.8718,4.0,693,4.0,1189,2.0,286,2001.0,-999.0,3131,3843,4104,2623,409,0
40,62.0,74.6364,338,42.8175,3.0,535,9.0,473,9.0,164,1989.0,-999.0,3131,3843,4104,2623,1775,0
41,54.0,74.5808,1372,42.8789,1.0,534,10.0,1189,6.0,205,2017.0,-999.0,3131,3843,4104,2623,1775,0
42,48.0,74.6892,1510,42.8791,2.0,998,5.0,473,4.0,268,1981.0,-999.0,3131,3843,4104,2623,1775,0
43,44.0,74.6182,338,42.8707,1.0,22,9.0,311,9.0,375,2002.0,2.9,3131,3843,4104,2623,1229,0
44,90.0,74.5844,1372,42.8246,2.0,16,11.0,2728,6.0,638,2017.0,3.0,771,721,272,2623,1775,1
45,78.8,74.6195,338,42.8769,5.0,179,5.0,1189,2.0,257,2008.0,-999.0,3131,3843,277,3143,1229,0
46,60.0,74.6921,1372,42.8748,3.0,98,9.0,473,5.0,201,1983.0,-999.0,3131,3843,861,2623,1775,0
47,74.0,74.5873,1510,42.8447,3.0,444,3.0,56,3.0,190,1962.0,-999.0,1148,3843,4104,2623,2341,0
48,110.0,74.5896,1510,42.8775,4.0,449,7.0,1189,6.0,210,1989.0,-999.0,1148,3843,4104,2623,409,0
49,40.0,74.6364,1510,42.8143,1.0,14,9.0,311,7.0,284,-999.0,-999.0,3131,3843,4104,2623,1229,0
50,42.0,74.6334,1372,42.8703,1.0,628,9.0,1189,4.0,302,2019.0,-999.0,3131,3843,4104,2623,1229,0
51,56.0,74.6416,338,42.8122,2.0,1067,9.0,208,1.0,483,-999.0,-999.0,3131,3843,4104,3143,2341,0
52,55.0,74.5666,1372,42.835,2.0,437,9.0,2728,1.0,303,-999.0,-999.0,3131,3843,4104,2623,2341,0
53,50.0,74.6318,1372,42.8334,1.0,53,13.0,2728,12.0,394,2020.0,3.3,3131,190,4104,3143,2341,0
54,40.7,74.5837,1510,42.8726,2.0,958,5.0,1189,3.0,183,1976.0,-999.0,3131,3843,4104,2623,1775,0
55,84.0,74.5891,1372,42.8762,4.0,950,5.0,1189,2.0,274,1961.0,-999.0,3131,3843,4104,2623,1775,0
56,58.0,74.6222,1372,42.8784,3.0,81,5.0,51,3.0,212,1981.0,-999.0,3131,3843,4104,2623,1229,0
57,58.0,74.6127,1510,42.8333,3.0,302,4.0,374,1.0,192,1972.0,-999.0,1148,3843,4104,2623,1229,0
58,46.0,74.5838,1372,42.8815,2.0,1126,10.0,2728,5.0,295,2017.0,-999.0,1148,3843,4104,2623,1229,0
59,140.0,74.5681,1257,42.8314,4.0,166,12.0,1189,10.0,231,2017.0,-999.0,3131,3843,4104,2623,409,0
60,84.0,74.6268,1372,42.8131,3.0,681,11.0,2728,7.0,244,-999.0,3.0,771,909,272,3143,1775,0
61,62.0,74.6316,1372,42.8282,2.0,582,6.0,1189,2.0,194,2014.0,-999.0,3131,3843,26,2623,1229,0
62,79.2,74.6339,1372,42.8722,4.0,508,5.0,473,5.0,182,1980.0,-999.0,3131,3843,4104,2623,2341,0
63,43.0,74.6172,1257,42.8339,2.0,7,4.0,374,4.0,218,-999.0,-999.0,3131,3843,4104,3143,2341,0
64,65.0,74.6321,1372,42.8686,2.0,539,9.0,208,2.0,169,2018.0,-999.0,3131,3843,4104,2623,1775,0
65,78.0,74.6903,1257,42.8546,3.0,95,9.0,208,5.0,180,2009.0,-999.0,1148,3843,4104,2623,1229,1
66,72.0,74.5862,1257,42.8462,3.0,8,3.0,1189,2.0,344,-999.0,-999.0,3131,90,4104,2623,2341,0
67,45.0,74.6374,1372,42.8396,1.0,588,9.0,208,5.0,201,2015.0,-999.0,3131,3843,277,2623,1229,0
