Общая площадь,Долгота,Состояние,Широта,Количество комнат,Всего этажей,Серия,Этаж,Год постройки,Санузел,Мебель,Отопление,Тип предложения
66.0,74.6077,939,42.8578,2.0,9.0,2731,3.0,-999.0,2353,3131,867,2623
135.0,74.6253,1257,42.8751,3.0,13.0,2731,5.0,-999.0,2353,3131,867,2623
52.0,74.5835,1372,42.8439,3.0,4.0,1189,2.0,-999.0,1229,3131,4104,3143
85.0,74.5769,1372,42.8289,2.0,12.0,2731,5.0,2018.0,2353,3131,867,2623
48.0,74.6234,338,42.8725,2.0,9.0,530,7.0,-999.0,2353,3131,4104,3143
140.0,74.5827,1372,42.8386,4.0,10.0,2731,5.0,2019.0,1775,3131,4104,3143
43.0,74.6121,1510,42.8318,2.0,4.0,425,1.0,1971.0,1229,1148,4104,2623
49.0,74.6347,1257,42.8455,1.0,9.0,519,4.0,-999.0,2353,3131,277,2623
56.0,74.6338,1372,42.8448,2.0,9.0,2731,5.0,2019.0,1229,716,277,3143
170.0,74.5845,1510,42.8314,3.0,9.0,1189,3.0,-999.0,409,771,867,2623
37.0,74.565,338,42.8307,1.0,9.0,519,6.0,2012.0,1229,3131,277,2623
48.0,74.5827,194,42.8699,2.0,4.0,1189,3.0,-999.0,1775,3131,4104,3143
104.0,74.5925,939,42.8656,3.0,10.0,2731,10.0,2015.0,1775,3131,4104,3143
36.0,74.6087,1510,42.8671,1.0,9.0,519,8.0,1990.0,1229,771,4104,3143
51.0,74.6162,1257,42.8188,1.0,9.0,2731,3.0,2021.0,2353,3131,4104,2623
48.0,74.5805,1257,42.8707,2.0,6.0,1189,5.0,-999.0,2353,3131,4104,2623
121.0,74.5786,1257,42.8833,3.0,10.0,1189,8.0,2021.0,2353,3131,272,3143
47.0,74.6248,1372,42.8138,1.0,10.0,2731,2.0,2018.0,1229,771,272,3143
82.0,74.595,1257,42.8791,2.0,10.0,2731,7.0,2017.0,2353,3131,867,3143
60.0,74.6351,1257,42.814,2.0,14.0,1189,12.0,-999.0,2353,3131,867,2623
116.0,74.6179,1372,42.8287,3.0,10.0,2731,2.0,-999.0,2353,3131,272,2623
71.0,74.6813,939,42.8587,2.0,9.0,2731,8.0,-999.0,2353,3131,4104,3143
57.0,74.5884,103,42.8545,1.0,10.0,2731,10.0,2018.0,2353,3131,4104,2623
63.0,74.6229,1510,42.8747,2.0,9.0,1189,2.0,-999.0,1775,1148,4104,3143
19.0,74.5837,1510,42.8496,1.0,5.0,74,5.0,1980.0,1775,1148,4104,2623
108.0,74.6122,1372,42.8201,3.0,10.0,2731,5.0,2016.0,1775,1148,220,2623
140.0,74.5721,1510,42.8799,4.0,10.0,2731,8.0,-999.0,2353,3131,867,3143
52.0,74.617,1510,42.8756,2.0,4.0,1189,2.0,1984.0,2353,3131,4104,3143
109.87,74.5807,939,42.8825,3.0,12.0,1189,8.0,2020.0,2353,3131,4104,3143
24.0,74.6112,1510,42.8668,1.0,9.0,1189,6.0,1980.0,1775,716,867,3143
100.0,74.6149,1372,42.825,4.0,9.0,519,7.0,-999.0,1775,1148,4104,2623
154.0,74.6193,1257,42.8776,3.0,7.0,1189,6.0,-999.0,2353,3131,4104,2623
43.0,74.5783,1372,42.8792,2.0,10.0,2731,9.0,-999.0,2353,1148,4104,2623
44.0,74.5827,939,42.8397,1.0,12.0,2731,7.0,2019.0,2353,3131,4104,3143
56.0,74.6086,1510,42.8599,2.0,9.0,519,8.0,1980.0,1775,1148,4104,3143
18.0,74.627,1510,42.8349,1.0,5.0,1189,5.0,-999.0,1775,3131,4104,3143
100.0,74.6159,1510,42.8304,4.0,9.0,519,1.0,-999.0,2353,3131,4104,2623
26.0,74.5247,338,42.8745,1.0,3.0,1189,2.0,2015.0,1775,3131,277,3143
73.0,74.6374,1372,42.8157,2.0,10.0,2731,9.0,2017.0,1775,1148,4104,2623
18.0,74.6235,1510,42.8355,1.0,5.0,74,5.0,1980.0,1775,716,4104,2623
35.0,74.5718,1257,42.8357,1.0,10.0,1189,7.0,-999.0,2353,3131,867,2623
75.0,74.6068,1372,42.8544,3.0,5.0,1189,1.0,-999.0,1775,1148,4104,2623
58.0,74.6187,1510,42.8655,3.0,5.0,425,1.0,-999.0,1229,771,4104,3143
44.0,74.6144,939,42.8201,1.0,12.0,2731,5.0,2020.0,2353,3131,277,2623
40.0,74.6164,1510,42.8684,1.0,9.0,519,8.0,-999.0,2353,3131,4104,2623
43.0,74.6319,1257,42.8501,2.0,5.0,425,4.0,-999.0,2353,3131,4104,3143
98.0,74.5883,939,42.8626,3.0,12.0,2731,9.0,2019.0,409,716,4104,3143
58.0,74.5769,1510,42.8703,3.0,5.0,425,5.0,-999.0,1229,771,4104,3143
70.0,74.6165,1510,42.8249,2.0,10.0,2731,2.0,2012.0,1775,771,4104,3143
90.0,74.6879,1372,42.8535,3.0,12.0,2731,2.0,2019.0,2353,3131,4104,3143
62.0,74.6232,338,42.8196,3.0,9.0,519,8.0,1989.0,1775,3131,4104,3143
48.0,74.6413,1372,42.8522,2.0,9.0,41,8.0,-999.0,1229,1148,277,3143
59.6,74.5893,1372,42.8438,2.0,10.0,2731,6.0,2016.0,1775,771,4104,3143
72.0,74.5633,1372,42.8346,2.0,10.0,2731,6.0,2008.0,2353,3131,4104,2623
70.0,74.5808,939,42.8438,2.0,10.0,2731,3.0,2021.0,1775,3131,867,3143
46.4,74.6134,939,42.8187,1.0,14.0,2731,9.0,-999.0,1775,3131,4104,3143
74.0,74.5682,1372,42.8319,2.0,12.0,2731,9.0,-999.0,1775,3131,867,2623
140.0,74.6147,1510,42.8644,4.0,5.0,1189,4.0,-999.0,409,1148,4104,2623
100.0,74.6406,1510,42.8134,3.0,9.0,519,4.0,2014.0,1775,1148,4104,2623
80.0,74.6914,1510,42.8783,3.0,5.0,1189,5.0,-999.0,1775,1148,4104,3143
60.0,74.6211,338,42.824,3.0,4.0,425,4.0,1989.0,2353,3131,4104,2623
55.0,74.696,1510,42.8778,2.0,9.0,519,5.0,-999.0,1775,716,4104,3143
82.0,74.6028,1257,42.8649,3.0,10.0,2731,7.0,-999.0,2353,3131,4104,3143
72.0,74.6102,1257,42.857,2.0,9.0,2731,7.0,-999.0,2353,3131,867,2623
65.1,74.6376,194,42.8161,3.0,9.0,530,8.0,-999.0,1775,3131,4104,3143
31.0,74.5846,1510,42.8876,2.0,3.0,1189,1.0,2019.0,1229,716,220,2623
42.0,74.6373,1372,42.8162,1.0,10.0,2731,2.0,-999.0,1775,3131,4104,2623
122.4,74.6134,103,42.8187,3.0,14.0,2731,7.0,-999.0,409,3131,220,3143
42.0,74.613,338,42.8327,2.0,5.0,425,3.0,-999.0,1229,771,4104,3143
42.0,74.6364,1510,42.8757,2.0,5.0,1189,2.0,-999.0,1229,771,4104,3143
98.0,74.5845,939,42.8682,3.0,15.0,2731,15.0,2019.0,1775,3131,4104,2623
47.0,74.5395,1257,42.8582,2.0,10.0,2731,8.0,2017.0,2353,3131,4104,3143
58.0,74.6222,1372,42.8784,3.0,5.0,425,3.0,1981.0,1229,3131,4104,2623
100.0,74.6479,1257,42.8768,3.0,10.0,2731,8.0,2019.0,2353,3131,4104,2623
46.0,74.6408,1257,42.8758,2.0,5.0,1189,3.0,-999.0,2353,3131,867,3143
88.0,74.5924,1510,42.865,3.0,10.0,2731,5.0,2016.0,2353,1148,4104,2623
49.0,74.639,1510,42.884,2.0,5.0,530,1.0,-999.0,1775,1148,4104,3143
104.0,74.5998,1372,42.865,3.0,12.0,2731,7.0,-999.0,1775,1148,4104,3143
52.0,74.6917,1257,42.8535,2.0,9.0,530,8.0,-999.0,2353,3131,867,2623
110.0,74.6085,1510,42.8502,3.0,12.0,2731,7.0,2018.0,2353,3131,4104,2623
81.0,74.6247,939,42.8176,3.0,12.0,2731,8.0,2022.0,1775,3131,272,3143
60.0,74.6297,1372,42.8272,3.0,4.0,425,3.0,1970.0,1229,771,4104,3143
55.0,74.6128,1257,42.8597,2.0,4.0,1189,3.0,-999.0,2353,3131,867,3143
85.0,74.5821,1372,42.8409,3.0,12.0,2731,7.0,-999.0,1775,716,26,2623
68.0,74.6225,1510,42.8201,3.0,18.0,1189,2.0,-999.0,1775,1148,4104,2623
75.0,74.6424,1372,42.8454,3.0,13.0,2731,12.0,-999.0,1775,1148,277,3143
122.0,74.6134,939,42.8187,3.0,14.0,2731,10.0,-999.0,1775,3131,4104,3143
30.0,74.5387,1257,42.8806,1.0,4.0,165,1.0,-999.0,2353,3131,277,2623
300.0,74.593,1257,42.8774,6.0,9.0,2731,9.0,-999.0,2353,3131,867,2623
107.0,74.632,1257,42.8717,2.0,14.0,2731,3.0,-999.0,2353,3131,867,3143
103.0,74.6258,1372,42.8341,3.0,10.0,2731,8.0,2015.0,1775,1148,4104,2623
102.0,74.5996,103,42.8836,2.0,12.0,1189,12.0,2014.0,1775,3131,4104,2623
122.0,74.6134,1257,42.8187,3.0,14.0,2731,5.0,2019.0,2353,3131,4104,3143
72.0,74.5862,1257,42.8462,3.0,3.0,1189,2.0,-999.0,2353,3131,4104,2623
39.0,74.6005,939,42.8485,1.0,12.0,2731,3.0,-999.0,1229,716,4104,3143
44.6,74.6299,1510,42.8844,1.0,9.0,519,2.0,2016.0,1229,1148,4104,2623
67.0,74.6114,1257,42.8744,3.0,12.0,1189,7.0,-999.0,2353,3131,4104,3143
49.1,74.6134,1372,42.8239,1.0,12.0,2731,10.0,2017.0,1229,1148,277,3143
42.2,74.6127,1510,42.849,1.0,9.0,2731,7.0,2018.0,1775,1148,272,3143
68.0,74.6317,1257,42.8502,2.0,10.0,519,9.0,-999.0,2353,3131,867,3143
56.0,74.6416,1510,42.8122,1.0,9.0,519,1.0,2015.0,1229,1148,4104,3143
105.0,74.6094,1510,42.8527,2.0,9.0,2731,3.0,-999.0,2353,3131,867,3143
85.0,74.6239,1372,42.8663,4.0,9.0,519,7.0,1991.0,409,771,4104,3143
38.0,74.6437,1372,42.8438,1.0,10.0,2731,2.0,-999.0,1229,1148,220,3143
57.3,74.5814,1257,42.8372,1.0,12.0,2731,4.0,-999.0,2353,3131,867,3143
112.0,74.6148,1257,42.8167,3.0,15.0,2731,13.0,2020.0,2353,3131,867,2623
101.0,74.5998,1372,42.865,3.0,12.0,2731,3.0,2018.0,1775,1148,4104,3143
70.0,74.6197,1372,42.8673,3.0,5.0,2731,5.0,2017.0,1775,716,4104,2623
45.0,74.5673,1257,42.8417,2.0,3.0,1189,3.0,-999.0,2353,3131,867,2623
85.0,74.5379,1510,42.8846,3.0,3.0,425,2.0,-999.0,1229,1148,277,3143
115.0,74.5975,1372,42.8728,4.0,9.0,2731,8.0,2015.0,1775,771,4104,2623
37.0,74.6905,1510,42.8757,1.0,4.0,425,1.0,1977.0,1229,1148,4104,2623
44.0,74.5876,1257,42.8781,1.0,12.0,1189,8.0,-999.0,2353,3131,867,2623
75.0,74.6848,1257,42.8765,3.0,9.0,519,6.0,-999.0,1775,771,4104,3143
60.0,74.6282,1510,42.8187,3.0,4.0,425,2.0,1989.0,1229,716,4104,3143
93.0,74.6077,1372,42.8651,2.0,6.0,2731,4.0,2008.0,409,771,4104,3143
50.0,74.6003,1372,42.8822,2.0,16.0,2731,8.0,-999.0,1229,771,4104,3143
110.0,74.6091,1510,42.872,4.0,9.0,1189,6.0,-999.0,2353,1148,4104,2623
42.0,74.6283,1510,42.8269,2.0,4.0,425,1.0,-999.0,1229,771,4104,3143
75.0,74.5688,1510,42.8455,2.0,14.0,2731,2.0,2019.0,409,771,4104,2623
62.0,74.5555,939,42.8525,2.0,9.0,519,9.0,2019.0,2353,3131,272,3143
90.0,74.6136,1257,42.8601,2.0,14.0,2731,2.0,-999.0,2353,3131,867,2623
38.6,74.6244,1510,42.8709,1.0,12.0,2731,10.0,-999.0,2353,716,4104,2623
52.8,74.6222,1257,42.8177,1.0,13.0,41,5.0,2021.0,2353,3131,220,3143
70.0,74.6933,1372,42.8736,2.0,11.0,2731,8.0,2021.0,2353,3131,4104,3143
60.0,74.5898,1510,42.8071,3.0,4.0,1189,3.0,1976.0,1775,1148,4104,3143
40.0,74.5937,1510,42.8851,2.0,4.0,165,4.0,-999.0,1229,3131,4104,3143
60.0,74.6165,1510,42.877,2.0,7.0,1189,7.0,1984.0,1775,1148,4104,3143
67.0,74.5644,1372,42.8383,2.0,9.0,2731,4.0,-999.0,1775,3131,867,2623
63.0,74.5883,939,42.8626,2.0,12.0,2731,7.0,-999.0,1775,716,4104,3143
75.0,74.5845,1372,42.8682,2.0,15.0,2731,10.0,-999.0,1775,3131,4104,3143
52.0,74.6087,1510,42.8299,3.0,4.0,425,1.0,-999.0,1229,716,4104,2623
77.0,74.6137,103,42.8184,2.0,14.0,2731,2.0,2022.0,2353,3131,220,3143
200.0,74.6014,1372,42.8722,5.0,10.0,2731,5.0,-999.0,2353,771,4104,3143
190.0,74.6077,1257,42.8595,4.0,10.0,2731,10.0,-999.0,2353,3131,867,3143
60.0,74.6287,194,42.8375,2.0,5.0,1189,1.0,1990.0,1775,716,4104,3143
90.0,74.575,1372,42.8419,3.0,12.0,2731,11.0,-999.0,2353,3131,4104,2623
35.0,74.6889,338,42.854,1.0,9.0,530,8.0,-999.0,1229,716,4104,3143
118.0,74.6007,1372,42.8827,4.0,10.0,1189,7.0,-999.0,409,771,4104,3143
43.0,74.5764,1510,42.8825,1.0,9.0,1189,4.0,2005.0,1229,771,4104,3143
60.0,74.5476,1510,42.8885,3.0,2.0,1189,1.0,-999.0,1775,1148,220,3143
42.0,74.6432,1257,42.8434,1.0,5.0,425,5.0,-999.0,2353,3131,867,2623
56.0,74.6361,194,42.8756,3.0,5.0,1189,2.0,-999.0,2353,3131,4104,2623
74.0,74.5873,1510,42.8447,3.0,3.0,56,3.0,1962.0,2353,1148,4104,2623
132.0,74.5841,194,42.8228,3.0,13.0,2731,11.0,2020.0,1775,3131,867,2623
87.6,74.593,1372,42.8725,3.0,12.0,2731,8.0,2015.0,409,1148,4104,3143
65.0,74.6025,1257,42.831,3.0,4.0,425,4.0,-999.0,2353,3131,4104,2623
