title,address,price_dollar,price_som,dollar_per_m2,som_per_m2,post_date,update_date,views,Тип предложения,Дом,Этаж,Кол-во этажей,Площадь,Площадь участка,Серия,Отопление,Состояние,Телефон,Интернет,Санузел,Балкон,Входная дверь,Парковка,Коммуникации,Местоположение,Канализация,Питьевая вода,Электричество,Газ,Поливная вода,Безопасность,Мебель,Пол,Высота потолков,Разное,Возможность рассрочки,Возможность ипотеки,Возможность обмена,description,latitude,longitude,link,Период аренды
"Дом, 3-комн., 53 м2","Бишкек, Кок-Жар ж/м, тон 54",$ 100 000,8 480 000 сом,$ 1 887/м2,160 000 сом/м2,Добавлено 3 месяца назад,,318,от собственника,"кирпичный, 2010 г.",,1,53 м2,4 соток,,на твердом топливе,хорошее,возможно подключение,,совмещенный,,,,,,возможно подведение,центральное водоснабжение,есть,возможно подключение,,,частично меблирована,линолеум,,"пластиковые окна,                                             хозпостройки",,,рассмотрю варианты,"

                                    Описание от продавца                            
Продаю теплый кирпичный дом

Все условия( газ, свет, канализация, вода)

+ВРЕМЯНКА (1 + 0,5 + 0,5 ком.)
Дом расположен в хорошем районе. Отличные соседи.
","""42.845""","""74.6386""",https://www.house.kg/details/55572725ff1ee553e6c29-81552403,
"2-комн. кв., 56 м2","Бишкек, Панфилова/Боконбаева",$ 50 000,4 240 000 сом,$ 893/м2,75 714 сом/м2,Добавлено 4 месяца назад,Поднято 3 месяца назад,748,от собственника,"кирпичный, 2018 г.",9 этаж из 15,,56 м2,,элитка,центральное,евроремонт,возможно подключение,,совмещенный,балкон,бронированная,рядом охраняемая стоянка,,,,,,,,"домофон,                                             видеонаблюдение",полностью меблирована,ламинат,2.8 м.,"пластиковые окна,                                             кухня-студия,                                             кондиционер,                                             встроенная кухня,                                             тихий двор",,,рассмотрю варианты,"

                                    Описание от продавца                            
Продаю новую двухкомнатную квартиру с площадью 56м2, с дизайнерским ремонтом в золотом квадрате Панфилова/ боконбаева.
","""42.8645""","""74.6006""",https://www.house.kg/details/19782905fcf2e81c126d8-28168025,
"2-комн. кв., 43 м2",Бишкек,$ 33 500,2 840 800 сом,$ 779/м2,66 065 сом/м2,Добавлено 4 месяца назад,Поднято 3 месяца назад,501,от агента,кирпичный,4 этаж из 4,,43 м2,,сталинка,центральное,,,,,,,,,,,,,,,,,,,,,есть,,"

                                    Описание от продавца                            
Продаётся 2 ком.квартира по Манаса/Боконбаева.
4 этаж из 4. С крышей проблем нет.
С ремонтом, окна пластиковые, сан узел в 100% кафеле.
Цена: 33.500$ не окончательно
Тел. 0555240296 и 0703120270
","""42.8667""","""74.587""",https://www.house.kg/details/52402155fca5db7e270d1-11818154,
"2-комн. кв., 107 м2","Бишкек, Гражданска 2/Чуй/Алматинская",$ 58 850,4 990 480 сом,$ 550/м2,46 640 сом/м2,Добавлено 4 месяца назад,Поднято 3 месяца назад,306,от собственника,монолитный,13 этаж из 14,,"107 м2, кухня: 20 м2",,элитка,центральное,под самоотделку (псо),,,2 с/у и более,,,,,,,,,магистральный,,"домофон,                                             кодовый замок",,,3 м.,,,,,"

                                    Описание от продавца                            
Продам 2-х комн. кв., 107 кв.м 14/13 этаж, СК «Авента Строй» ЖК «Караван Сарай» Адрес ул. Чуй/Алма-Атинка (рядом стоматология №4）Цена 550$ за 1кв.м/58800$
Застройщик «Авента Строй»,  Жилой комплекс «Караван Сарай»
Строение: монолитно-кирпичное, наполнение: кирпичное. Фасад керамогранит .
Квартира подсамоотделку
Этажность: 14 - квартира на 13 этаже.
Количество подъездов: 2
Коммуникации все центральные.
Высота потолков: 3 м, Окна восточная сторона
Жилой комплекс – Бизнес класса
Безопасность: огражденная территория, видеодомофоны, система пожарной безопасности.
Дом завершен частично заселен
Квартира не угловая, комнаты изолированы, сан.узел раздельный, панорамные окна, индивидуальная планировка, можно переделать в 3-х комн. кв.
Адрес ул. Чуй/Алма-Атинка(рядом стоматология №4 ). 
Тел: 0755999998
","""42.8758""","""74.6365""",https://www.house.kg/details/55437225fc8f0c62d7ee3-74949001,
"2-комн. кв., 63 м2","Бишкек, Тунгуч м-н, Горького 40",$ 62 000,5 257 600 сом,$ 984/м2,83 454 сом/м2,Добавлено 3 месяца назад,,222,от собственника,"монолитный, 2019 г.",4 этаж из 12,,63 м2,,элитка,центральное,хорошее,,,2 с/у и более,,бронированная,,,,,,,возможно подключение,,"домофон,                                             охрана,                                             кодовый замок",полностью меблирована,ламинат,2.8 м.,"пластиковые окна,                                             новая сантехника,                                             неугловая,                                             встроенная кухня,                                             кладовка",,,,,"""42.8535""","""74.6879""",https://www.house.kg/details/56217245ff1c394d3d881-11808510,
"3-комн. кв., 83 м2","Бишкек, Ахунбаева 183/Мира",$ 61 000,5 172 800 сом,$ 735/м2,62 323 сом/м2,Добавлено 3 месяца назад,,329,от агента,кирпичный,3 этаж из 7,,83 м2,,элитка,центральное,евроремонт,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
3к Элитка 83м²
Ахунбаева/Мира
На 3 этаже из 7
Коммуникации центральные
Евроремонт

Срочная цена 61000$
","""42.8439""","""74.5848""",https://www.house.kg/details/97668185ff1a0d93cb0a2-10971027,
"2-комн. кв., 82 м2","Бишкек,  ул. гидростроительная 11",$ 30 000,2 544 000 сом,$ 366/м2,31 024 сом/м2,Добавлено 3 месяца назад,Поднято 3 месяца назад,706,от собственника,"монолитный, 2020 г.",2 этаж из 9,,"82 м2, жилая: 75 м2, кухня: 11 м2",,элитка,,хорошее,нет,,раздельный,балкон,металлическая,паркинг,,,,,,магистральный,,домофон,частично меблирована,ламинат,3 м.,"пластиковые окна,                                             новая сантехника,                                             неугловая,                                             тихий двор",,,рассмотрю варианты,"

                                    Описание от продавца                            
!!Продаю 2-х комн кв !!!!!
Адрес г Бишкек Эне Сай 
Дом 4 х этажный 
Квартира находиться на 2 этаже не угловая 
Два балкона 
82кв 
Рядом базарчик , школы . 
Цена 30тыс $ варианты обмена приветствуется на авто . С доплатой мне 
Тел . Не серьёзных попрошу не беспокоить !
","""42.8484""","""74.5922""",https://www.house.kg/details/32395465fef1a0d3a2be0-41509262,
"2-комн. кв., 43 м2","Бишкек, Тыныстанова 8а/Ахунбаева",$ 39 000,3 307 200 сом,$ 907/м2,76 912 сом/м2,Добавлено 4 месяца назад,Поднято 3 месяца назад,331,от собственника,"кирпичный, 1964 г.",3 этаж из 4,,43 м2,,хрущевка,центральное,хорошее,возможно подключение,проводной,совмещенный,балкон,деревянная,рядом охраняемая стоянка,,,,,,магистральный,,,частично меблирована,дерево,,,,,,,"""42.8416""","""74.6051""",https://www.house.kg/details/448045fc5131f3c9716-14357700,
"Дом, 2-комн., 50 м2","Бишкек, Рабочий Городок, Челюскина 16/Гагарина",$ 40 000,3 392 000 сом,$ 800/м2,67 840 сом/м2,Добавлено 3 месяца назад,,551,от собственника,другое,,1,"50 м2, жилая: 2 м2, кухня: 1 м2",4 соток,,смешанное,хорошее,возможно подключение,проводной,совмещенный,,,,,,центральная,центральное водоснабжение,есть,магистральный,,,полностью меблирована,ламинат,2.8 м.,"пластиковые окна,                                             сад,                                             хозпостройки,                                             навес",нет,есть,рассмотрю варианты,"

                                    Описание от продавца                            
Пол дома, ремонт 2019,уютный,теплый пол,место для авто, добрые соседи, огород большой можно построить большой дом,зимой тепло ,летом прохладно, стены толстые,  сан узел совмещенный, 100%кафель,двор асфальт и многое др.
","""42.8544""","""74.563""",https://www.house.kg/details/89504895ff162912697f3-16542598,
"Дом, 5-комн., 72 м2","Бишкек, Ялтинская 87 87/Салиева Алматинская",$ 90 000,7 632 000 сом,$ 1 250/м2,106 000 сом/м2,Добавлено 3 месяца назад,,302,от собственника,"кирпичный, 1960 г.",,1,"72 м2, жилая: 72 м2, кухня: 72 м2",10 соток,,смешанное,требует ремонта,есть,проводной,нет,,,,,,центральная,скважина,есть,магистральный,,кодовый замок,частично меблирована,дерево,25 м.,"баня,                                             сад,                                             хозпостройки",,,с доплатой покупателя,"

                                    Описание от продавца                            
Срочно продаю Дом, с хорошим участком,в хорошем месте. под строительство.
","""42.885""","""74.6412""",https://www.house.kg/details/56024885ff1613f6dc091-44863846,
