title,address,price_dollar,price_som,dollar_per_m2,som_per_m2,post_date,update_date,views,Тип предложения,Дом,Этаж,Кол-во этажей,Площадь,Площадь участка,Серия,Отопление,Состояние,Телефон,Интернет,Санузел,Балкон,Входная дверь,Парковка,Коммуникации,Местоположение,Канализация,Питьевая вода,Электричество,Газ,Поливная вода,Безопасность,Мебель,Пол,Высота потолков,Разное,Возможность рассрочки,Возможность ипотеки,Возможность обмена,description,latitude,longitude,link
"Коммерческая недвижимость, 750 м2","Бишкек, Гражданская",$ 645 000,54 696 000 сом,$ 860/м2,72 928 сом/м2,Добавлено 3 месяца назад,Поднято 9 часов назад,400,от собственника,"кирпичный, 2010 г.",,3,750 м2,5 соток,,на твердом топливе,,есть,,,,,,,,,,,,,"решетки на окнах,                                             домофон,                                             видеодомофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение",,,3 м.,,,,,"

                                    Описание от продавца                            
🔥🔥🔥Срочно срочно 🔥🔥🔥Продаётся 3 этажный коммерческий объект.                         
 Общий площадь 750 м.кв 👍
Общий соток участка 5с😍         
 По улице Чуй / Алматинка.  
 Все коммуникации центральные. Идеальны вариант для бизнеса ( швейный цех, мед.клиника и.т.д) 
Цена 645000 $
 Звоните по номеру
0500985656.          
  0550980656
","""42.875""","""74.6347""",https://www.house.kg/details/96009625ff821cf7fae42-90942879
"2-комн. кв., 62 м2","Бишкек, Кок-Жар ж/м",$ 40 500,3 434 400 сом,$ 653/м2,55 394 сом/м2,Добавлено 2 месяца назад,Поднято 9 часов назад,308,от агента,"панельный, 2020 г.",11 этаж из 12,,62 м2,,элитка,электрическое,евроремонт,есть,проводной,раздельный,лоджия,бронированная,паркинг,,,,,,магистральный,,"домофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение",полностью меблирована,линолеум,3 м.,"пластиковые окна,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             тихий двор",,,,"

                                    Описание от продавца                            
Продаю 2-х ком. квартиру в ж/м Кок-Жар (ориентир 88 школа, Ахунбаева/А.Атинская)                                                                                                       S-62кв.м.
11 этаж из 12
Прекрасный вид на горы😍
                                                                                                                         
ЖК Шабдан Баатыр, С/К КG групп, дом заселен

Кирпично-монолитный дом, утепленный, отопление электрическое. 
Круглосуточная охрана, видеонаблюдение, пожарная сигнализация, интернет, современный бесшумный лифт, благоустроенный двор, детская площадка, подземный паркинг, гостевой паркинг. 

Рядом 88 школа, детские сады, супермаркет Глобус, бот. сад, магазины и аптеки

Хороший, спокойный район, свежий воздух 
                                                                               
Цена: 40500$ торг
Тел:0500985656 0550980656
","""42.8542""","""74.6453""",https://www.house.kg/details/7971839601285a9988a70-67019162
"2-комн. кв., 50 м2","Бишкек, 1000 мелочей, Гоголя/Токтогула",$ 44 000,3 731 200 сом,$ 880/м2,74 624 сом/м2,Добавлено 1 месяц назад,Поднято 9 часов назад,253,от собственника,панельный,3 этаж из 5,,50 м2,,105 серия,центральное,хорошее,,,раздельный,лоджия,,паркинг,,,,,,магистральный,,,,,2.8 м.,,,,,,"""42.8722""","""74.6201""",https://www.house.kg/details/380180160338ea491aaa4-32606621
"1-комн. кв., 35 м2","Бишкек, Боконбаева/Советская",$ 29 000,2 459 200 сом,$ 829/м2,70 263 сом/м2,Добавлено 4 месяца назад,Поднято 9 часов назад,1137,от собственника,кирпичный,6 этаж из 6,,35 м2,,индивид. планировка,центральное,хорошее,,проводной,совмещенный,лоджия,металлическая,рядом охраняемая стоянка,,,,,,магистральный,,,частично меблирована,,2.6 м.,,,есть,обмен не предлагать,"

                                    Описание от продавца                            
Продаю 1ком квартиру 

адрес: Советская пер Боконбаева

серия: индивидуальная планировка 

состояние хорошее 

все коммуникации центральные 

этаж 6 из 6

район с развитой инфраструктурой 

в шаговой доступности школа,садик,универ 

разные гос учреждения. 

удобная транспортная развязка 

звоните расскажу подробнее. 

тел 0703241656

0557862898
","""42.8679""","""74.612""",https://www.house.kg/details/40166995fc0f07b6e1189-53552322
"2-комн. кв., 62 м2","Бишкек, Тунгуч м-н, 40",$ 48 500,4 112 800 сом,$ 782/м2,66 335 сом/м2,Добавлено 1 день назад,Поднято 9 часов назад,11,от агента,"монолитный, 2019 г.",5 этаж из 12,,62 м2,,элитка,центральное,евроремонт,есть,проводной,раздельный,,бронированная,паркинг,,,,,,,,"решетки на окнах,                                             домофон,                                             сигнализация,                                             охрана,                                             кодовый замок,                                             видеонаблюдение",частично меблирована,линолеум,2.8 м.,"пластиковые окна,                                             улучшенная",нет,нет,,"

                                    Описание от продавца                            
Срочно!!! Продаю 2ком. кв
Тунгуч 1
СК ""Ихлас""

S -62кв.м.                         
5 этаж из 12
Все коммуникации центральные.
Дом кирпичный.

 Тихий, хороший район, в  шаговой доступности   частный/ гос.садики, школы, поликлиника

очень удобная транспортная развязка. 
 
Цена: $ 48500 торг

Телефон: 0500985656 0550980656
","""42.8535""","""74.6879""",https://www.house.kg/details/962379605ac827a38290-95513142
"2-комн. кв., 75 м2","Бишкек, ул. Тыналиева, 2/21",$ 75 000,6 360 000 сом,$ 1 000/м2,84 800 сом/м2,Добавлено 1 день назад,Поднято 9 часов назад,9,от агента,"монолитный, 2019 г.",11 этаж из 14,,75 м2,,элитка,центральное,евроремонт,есть,,раздельный,балкон,бронированная,паркинг,,,,,,,,,пустая,,2.8 м.,,,,,"

                                    Описание от продавца                            
Срочно! Продаю 2-х ком. элитную  кв! 
Ахунбаева/ Тыналиева 
СК ""Имарат Прогресс""! ЖК ""Алтын Булак life.""
Жилой комплекс «Алтын Булак» расположен в Южной части города Бишкек, где чистый воздух, спускаемый с гор, окрыляет свежестью, каждый раз как вы выходите из квартиры. 
Этаж 11 из 12.
S- 75кв

Центральное отопление с монтажем чугунных радиаторов.
Бесшумный скоростной лифт с резервным питанием.
Центральная  горячая и холодная водоснабжение.
Природный газ.
Кабельное телевидение.
В квартире идеальный ремонт, вся техника остаётся, техника немецкая. 

Просторный двор.

Цена: 75 000 торг 
Тел: 0500985656 0550980656
","""42.8642""","""74.5591""",https://www.house.kg/details/9954104605aca21b35f80-30874710
"2-комн. кв., 59.6 м2","Бишкек, Кудайберген, Патриса лумумбы 149б/профсоюзная",$ 41 800,3 544 640 сом,$ 701/м2,59 474 сом/м2,Добавлено 13 дней назад,Поднято 9 часов назад,102,от собственника,панельный,3 этаж из 3,,"59.6 м2, жилая: 55.6 м2",,105 серия,центральное,требует ремонта,,,раздельный,лоджия,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
квартира теплая требуется небольшой ремонт
","""42.8854""","""74.5245""",https://www.house.kg/details/4044904604ba56d926ba1-11514466
"1-комн. кв., 32 м2",Бишкек,$ 35 000,2 968 000 сом,$ 1 094/м2,92 750 сом/м2,Добавлено 9 часов назад,,1,от агента,панельный,2 этаж из 5,,32 м2,,104 серия,центральное,хорошее,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаётся  1 комнатная квартира 30 м2
В районе Золотого квадрата
Турусбекова/ Токтогула
Этаж-2/5
Не угловая 
104-серия
Балкон застеклен
Хорошее состояние 
Вся инфраструктура в шаговой доступности 
Удобная транспортная развязка
 
Цена: 35 000$
Есть небольшой торг
","""42.874""","""74.5845""",https://www.house.kg/details/8785713605c217e0572a9-11621538
"2-комн. кв., 80 м2","Бишкек, Филармония",$ 82 000,6 953 600 сом,$ 1 025/м2,86 920 сом/м2,Добавлено 9 часов назад,,3,от агента,кирпичный,1 этаж из 10,,80 м2,,элитка,центральное,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю 2-х комнатную квартиру в Центре!
СК "" Авангард "" .
Год постройки : 2015 .
Тип строения : кирпичное .
Площадь : 80м2 .
Этажность : 1 из 10.
Есть цокольный этаж
Коммуникации : Центральные .
Документы : Техпаспорт .
С Ремонтом
Мебель техника остается частично !
Цена : 82000 $ .
Адрес:Токтогула Исанова
т:508343499
","""42.8737""","""74.593""",https://www.house.kg/details/5128534605c21617be534-57918454
"2-комн. кв., 80 м2","Бишкек, Филармония",$ 82 000,6 953 600 сом,$ 1 025/м2,86 920 сом/м2,Добавлено 9 часов назад,,2,от собственника,кирпичный,1 этаж из 10,,80 м2,,элитка,,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю 2-х комнатную квартиру в Центре!
СК "" Авангард "" .
Год постройки : 2015 .
Тип строения : кирпичное .
Площадь : 80м2 .
Этажность : 1 из 10.
Есть цокольный этаж
Коммуникации : Центральные .
Документы : Техпаспорт .
С Ремонтом
Мебель техника остается частично !
Цена : 82000 $ .
ТЕЛ.0509999001.0995885558
","""42.8738""","""74.593""",https://www.house.kg/details/3640165605c213e7bd053-38887804
