title,address,price_dollar,price_som,dollar_per_m2,som_per_m2,post_date,update_date,views,Тип предложения,Дом,Этаж,Кол-во этажей,Площадь,Площадь участка,Серия,Отопление,Состояние,Телефон,Интернет,Санузел,Балкон,Входная дверь,Парковка,Коммуникации,Местоположение,Канализация,Питьевая вода,Электричество,Газ,Поливная вода,Безопасность,Мебель,Пол,Высота потолков,Разное,Возможность рассрочки,Возможность ипотеки,Возможность обмена,description,latitude,longitude,link,Период аренды,Тип строения
"2-комн. кв., 49 м2","Бишкек, 8 м-н",$ 43 200,3 663 360 сом,$ 882/м2,74 762 сом/м2,Добавлено 1 месяц назад,Поднято 2 дня назад,196,от агента,панельный,4 этаж из 5,,49 м2,,индивид. планировка,центральное,хорошее,,,раздельный,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Срочно продаётся 2х квартира в 8 мкр недалеко от Южной Магистрали 

Квартира находится на 4 этаже из 5. 

Дом индивидуальной планировки, большие просторные комнаты, сан узел раздельный. 

Общая площадь 49 м2. 

Большой двор, детская площадка, дружные соседи, вся инфраструктура развитая, широкая транспортная развязка 

Квартира в хорошем состоянии, можно заходить и жить. 

Звоните, покажу в ближайшее время. 

Цена:43200$ 

Тел:0708176990
0778176990
0550176990
0999516201(после 18:00 и whatsapp)
","""42.8323""","""74.611""",https://www.house.kg/details/110838660309bf6a44c02-16890073,,
"2-комн. кв., 52 м2","Бишкек, 7 м-н",$ 44 500,3 773 600 сом,$ 856/м2,72 569 сом/м2,Добавлено 1 месяц назад,Поднято 2 дня назад,191,от агента,панельный,1 этаж из 9,,52 м2,,106 серия,центральное,среднее,,,раздельный,лоджия,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продается 2 комнатная квартира в 7 мкр возле НТС 

Квартира находится на 1 этаже из 9 

Планировка 106 серии, квартира утепленная снаружи, на 2 стороны, комнаты просторные, 2 лоджии. 

Общая площадь 52 м2. 

Большой двор, детская площадка, дружные соседи, вся инфраструктура развитая, широкая транспортная развязка 

Звоните, покажу в ближайшее время. 

Цена:44500$ 

Тел:0708176990
0778176990
0550176990
0999516201(после 18:00 и whatsapp)
","""42.8287""","""74.6179""",https://www.house.kg/details/52888436030cdafad73e3-80845298,,
"3-комн. кв., 58 м2","Бишкек, Боконбаева/К.Акиева",$ 49 500,4 197 600 сом,$ 853/м2,72 372 сом/м2,Добавлено 4 месяца назад,Поднято 2 дня назад,698,от агента,"панельный, 1976 г.",3 этаж из 5,,"58 м2, жилая: 40 м2, кухня: 6 м2",,104 серия,центральное,хорошее,возможно подключение,проводной,совмещенный,лоджия,бронированная,паркинг,,,,,,магистральный,,домофон,пустая,линолеум,2.6 м.,"пластиковые окна,                                             новая сантехника,                                             неугловая,                                             кладовка,                                             тихий двор,                                             удобно под бизнес",нет,есть,,"

                                    Описание от продавца                            
Срочно!!! Продается 3 комнатная квартира, на 3 этаже, 5 этажного дома 104 серии, на пересечении улиц Боконбаева и Калыка Акиева, в районе Тихого центра, в очень хорошем состоянии!!!
 
Описание:

не угловая,
лоджия застеклена, утеплена,
в комнате виниловые обои,
потолки под яйцо,
полы линолеум,
двери бронированные,
межкомнатные двери новые
пластик окна,
сан.техника новая,
трубы пластик,
в сан.узле 100% кафель новый+навесной потолок,
на кухне 100% кафель новый.
 
Хорошая, уютная и теплая зимой квартира, с отличным ремонтом, делать ничего не надо, заходи и живи! Находится в одном из лучших районов города, так называемый ""тихий центр"" !!! Хороший и ухоженный двор, детская площадка, парковка, ухоженные подъезды!!!
Рядом с домом, в двух шагах 3 детских сада №№ 164, 165, 167, ясли-сад для маленьких деток, училище, школа № 8,  между прочим, одна из лучших в городе!!!
 
Небольшой торг уместен, реальным покупателям!!!

Звоните, смотрите, покупайте, договоримся!!!
","""42.8685""","""74.5782""",https://www.house.kg/details/59805325fd09aca60f8a6-27936030,,
"3-комн. кв., 80 м2","Бишкек, Боконбаева 124/Панфилова",$ 73 000,6 190 400 сом,$ 913/м2,77 380 сом/м2,Добавлено 4 месяца назад,Поднято 2 дня назад,764,от агента,"монолитный, 2018 г.",1 этаж из 12,,"80 м2, жилая: 64 м2, кухня: 10 м2",,элитка,центральное,евроремонт,возможно подключение,проводной,раздельный,лоджия,бронированная,паркинг,,,,,,магистральный,,"решетки на окнах,                                             домофон,                                             охрана,                                             видеонаблюдение",частично меблирована,ламинат,3 м.,"пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             кондиционер,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор",есть,нет,обмен не предлагать,"

                                    Описание от продавца                            
Продается хорошая, добротная квартира, с капитальным ремонтом, в районе Золотого квадрата, на пересечении улиц  Панфилова и Чуйкова, от строительной компании ""Памир Строй"",  ""Роял Центр"", в очень хорошем, отличном состоянии!!!
 
Описание:
 
угловая, дом одноподъездный,
в комнатах немецкие обои под покраску,
межкомнатные двери новые,
окна пластик,
полы ламинат,
сан.техника вся новая,
трубы пластик,
в ванной и в сан.узле российский кафель 100%
натяжные потолки,
софиты,
двери бронированные,
на кухне рабочая стенка кафель,
аристон,
Sобщ.- 80м2
 
Тихий и спокойный район, много зелени, двор огорожен, детская площадка, парковка,
Дом в эксплуатацию введен в 2018 году!!!
Все коммуникации подключены!!!
Можно в рассрочку на 8 месяцев!!!
 
Торгуемо реальным покупателям!!!
 
Звоните, смотрите, покупайте, Вам понравится, договоримся!!!
","""42.865""","""74.5998""",https://www.house.kg/details/52546025fcc4de89edb31-70499885,,
"3-комн. кв., 106 м2","Бишкек, Б.Баатыра 53/Горького",$ 125 000,10 600 000 сом,$ 1 179/м2,100 000 сом/м2,Добавлено 3 месяца назад,Поднято 2 дня назад,782,от агента,"кирпичный, 2017 г.",6 этаж из 12,,"106 м2, жилая: 82 м2, кухня: 15 м2",,индивид. планировка,центральное,свободная планировка,возможно подключение,проводной,раздельный,лоджия,бронированная,паркинг,,,,,,магистральный,,"видеодомофон,                                             охрана,                                             видеонаблюдение",полностью меблирована,ламинат,2.8 м.,"пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор",нет,есть,обмен не предлагать,"

                                    Описание от продавца                            
Продается 3 комнатная квартира, с очень хорошем и дорогим ремонтом, в центре города на пересечении улиц Горького и Байтик Баатыра, на 6 этаже, 12 этажного жилого дома 2017 года постройки, в ж\к ""Снежная королева"", отСК Бишкек Кап.Строй"" в очень хорошим и дорогим ремонтом, со всей мебелью и бытовой техникой!!!
 
Описание:
 
106 ( 82 ) 15
не угловая,
все лоджии застеклены, утеплены, расширены,
межкомнатные двери новые,
в комнатах шелковые обои,
полы ламинат,
комнаты изолированные,
сан.узел раздельный,
двери бронированные,
окна - витражи пластик,
в ванной комнате и в сан.узле 100% кафель новый,
натяжные потолки в комнатах,
навесной потолок в сан.узлах,
4 кондиционера зима-лето,
аристон.
 
Очень шикарный и добротный ремонт, использованы только дорогие отделочные материалы самых ведущих фирм мира!!! В эксплуатацию дом введен в 2017 году, все документы в полном порядке!!!
В доме имеется охрана, видеодомофон, охраняемая парковка!!! В доме два лифта, все коммуникации подключены!!! 
Один из самых лучших районов города, для людей, уважающих себя!!!
Квартира продается со все обстановкой, со всей дорогой мебелью и бытовой техникой!!!
 
Всегда можно договориться!!!
 
Звоните, смотрите, покупайте, Вам очень понравится, по цене договоримся!!!
 
Рассматриваем ипотеку!!!
","""42.8576""","""74.611""",https://www.house.kg/details/48493655fe088dba68ff7-00468389,,
"4-комн. кв., 118 м2","Бишкек, Масалиева/Бакаева",$ 96 000,8 140 800 сом,$ 814/м2,68 990 сом/м2,Добавлено 9 дней назад,Поднято 2 дня назад,65,от агента,"кирпичный, 2015 г.",6 этаж из 10,,"118 м2, жилая: 90 м2, кухня: 15 м2",,элитка,центральное,евроремонт,возможно подключение,проводной,раздельный,лоджия,бронированная,паркинг,,,,,,магистральный,,"охрана,                                             видеонаблюдение",частично меблирована,паркет,2.8 м.,"пластиковые окна,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор",нет,есть,обмен не предлагать,"

                                    Описание от продавца                            
Продается большая 4 комнатная шикарная квартира 118м2 в новом элитном доме, СК ""Гарант стиль"",  по Южной магистрали, на пересечении улиц Бакаева и Масалиева, в отличнейшем состоянии, заходи и живи!!!

Описание:

дом одноподъездный,
стены шелковые обои,
полы ламинат,
окна пластик,
межкомнатные двери новые,
в ванной джакузи+душевая кабина,
в сан.узле 100% кафель нового образца,
натяжные потолки+софиты,
на кухне 100% кафель новый+натяжной потолок+софиты,

Большая и Шикарная квартира в отличном, чистом и перспективном районе города, где много свежего воздуха, нет городского смога, хорошая транспортная развязка!!! В квартиру входят две индивидуальные парковки!!!

Стартовая стоимость: 96 000$ США!!! Конечно, поторгуемся, в пределах разумного. Торг будет существенным!!!

Все вопросы по тел: (0703) 066429

Звоните, смотрите, покупайте, Вам понравится, по цене, надеюсь, договоримся!!!
","""42.83""","""74.5772""",https://www.house.kg/details/20259706051838d27bd01-39643989,,
"4-комн. кв., 118 м2","Бишкек, ул. Масалиева / ул. Чапаева",$ 96 000,8 140 800 сом,$ 814/м2,68 990 сом/м2,Добавлено 4 месяца назад,Поднято 2 дня назад,808,от агента,монолитный,6 этаж из 10,,"118 м2, жилая: 84 м2, кухня: 11 м2",,элитка,,евроремонт,возможно подключение,проводной,раздельный,лоджия,бронированная,паркинг,,,,,,магистральный,,"домофон,                                             сигнализация,                                             видеонаблюдение",частично меблирована,ламинат,3 м.,"пластиковые окна,                                             улучшенная,                                             кухня-студия,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор",нет,нет,обмен не предлагать,"

                                    Описание от продавца                            
Продается большая 4 комнатная шикарная квартира 118м2 в новом элитном доме, СК ""Гарант стиль"",  по Южной магистрали, на пересечении улиц Бакаева и Масалиева, в отличнейшем состоянии, заходи и живи!!!

Описание:

дом одноподъездный,
стены шелковые обои,
полы ламинат,
окна пластик,
межкомнатные двери новые,
в ванной джакузи+душевая кабина,
в сан.узле 100% кафель нового образца,
натяжные потолки+софиты,
на кухне 100% кафель новый+натяжной потолок+софиты,

Большая и Шикарная квартира в отличном, чистом и перспективном районе города, где много свежего воздуха, нет городского смога, хорошая транспортная развязка!!! В квартиру входят две индивидуальные парковки!!!

Конечно, поторгуемся, в пределах разумного. Торг будет существенным!!!

Звоните, смотрите, покупайте, Вам понравится, по цене, надеюсь, договоримся!!!
","""42.8301""","""74.5777""",https://www.house.kg/details/413055fcc4bbe649928-40888673,,
"1-комн. кв., 32 м2","Бишкек, 6 м-н",$ 31 500,2 671 200 сом,$ 984/м2,83 475 сом/м2,Добавлено 2 месяца назад,Поднято 2 дня назад,225,от агента,панельный,2 этаж из 4,,32 м2,,104 серия,,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю 1кв.104серии.
6 мкр.Старая дорога.
Большая лоджия.
Квартира не угловая
Нужен косметический ремонт.32м2.
Этаж 2/4
Удобное расположение
Отличный район
Стоимость 31,500$
Звоните по тел.

0708176990
0778176990
0550176990
0999516201(после 18:00 и whatsapp)
","""42.8237""","""74.626""",https://www.house.kg/details/96364636020e605ab5500-42577889,,
"5-комн. кв., 215 м2","Бишкек, Исанова/Рыскулова",$ 210 000,17 808 000 сом,$ 977/м2,82 828 сом/м2,Добавлено 4 месяца назад,Поднято 2 дня назад,820,от агента,"кирпичный, 2009 г.",7 этаж из 7,,"215 м2, жилая: 160 м2, кухня: 30 м2",,индивид. планировка,центральное,евроремонт,возможно подключение,проводной,раздельный,лоджия,бронированная,паркинг,,,,,,магистральный,,"домофон,                                             охрана,                                             видеонаблюдение",полностью меблирована,паркет,2.75 м.,"пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор",есть,есть,обмен не предлагать,"

                                    Описание от продавца                            
Продаю шикарную 5 комнатную квартиру, пентхаус, 215м2, на 7 этаже, 7 этажного нового дома 2009 года постройки, от СК Боолбек ЛТД, по улице Исанова, в районе Дворца спорта, со всей обстановкой, заходи и живи!!!
 
Описание:
 
не угловая,
лоджия застеклена,
межкомнатные двери новые,
в комнатах под яйцо,
полы паркет,
окна пластик,
сан.техника новая,
трубы пластик,
3 сан.узла,
джакузи, душевые кабины,
во всех сан.узлах 100% кафель новый,
на кухне рабочая стенка новый кафель,
 
 
Шикарная квартира, в шикарном районе города, тихом, спокойном и зеленом!!!
Квартира продается со всей мебелью!!!
 
Поговорить можно всегда, если будет интерес!!!
 
Звоните, смотрите, покупайте, Вам понравится, по цене договоримся!!!
","""42.8781""","""74.5916""",https://www.house.kg/details/12417465fcc4a451b5a76-98372809,,
"Дом, 2-комн., 60 м2","Бишкек, Абдумамунова/Алма-Атинская",$ 24 000,2 035 200 сом,$ 400/м2,33 920 сом/м2,Добавлено 8 дней назад,Поднято 2 дня назад,173,от агента,"другое, 1963 г.",,1,"60 м2, жилая: 60 м2",1.5 соток,,на газе,хорошее,возможно подключение,проводной,нет,,,,,,центральная,центральное водоснабжение,есть,магистральный,,,пустая,дерево,2.6 м.,"хозпостройки,                                             навес,                                             веранда",нет,нет,обмен не предлагать,"

                                    Описание от продавца                            
Очень срочно!!! Продается пол.дома, на пересечении улиц Абдумамунова и Алма-Атинская, между микрорайоном Восток - 5 и Аламединским рынком, в хорошем, жилом состоянии!!!
 
Описание:
 
2 комнаты+кухня,
Sобщ.- 60м2,
времянка 2 комнаты,
участок 1,5 сотки,
саман,
вода, свет в доме,
отопление твердое топливо+газ,
центральная канализация подключена,
место под машину имеется,
топчан,
кровля шифер,
хоз.постройки,
забор пескоблок,
 
Средняя школа №45, №51, частный детский сад ""Ак - Шоола"", детские сады №171, №175, №100, Детский образовательный комплекс ""Kinder City"", Центр отдыха ""Пират"", мед.учреждение, Стоматологическая поликлиника №4, Академия Туризма, Кыргызско-Российско-Славянский университет им. Б.Ельцина, много всевозможных ресторанов, ресторанчиков и кафешек - вообщем, все, что нужно, все в шаговой доступности от дома, на любой вкус и для каждого по способности, все есть!!!
Транспортная развязка прекрасная, в любую точку города и за город!!!
 
Стартовая стоимость: 24 000$ США!!! Реальным клиентам возможна скидка!!!
 
Все вопросы по тел: (0703) 066429
 
Звоните, смотрите, покупайте, договоримся!!!
","""42.8788""","""74.6375""",https://www.house.kg/details/511959760521309523890-21247452,,
