title,address,price_dollar,price_som,dollar_per_m2,som_per_m2,post_date,update_date,views,Тип предложения,Дом,Этаж,Кол-во этажей,Площадь,Площадь участка,Серия,Отопление,Состояние,Телефон,Интернет,Санузел,Балкон,Входная дверь,Парковка,Коммуникации,Местоположение,Канализация,Питьевая вода,Электричество,Газ,Поливная вода,Безопасность,Мебель,Пол,Высота потолков,Разное,Возможность рассрочки,Возможность ипотеки,Возможность обмена,description,latitude,longitude,link,Тип строения,Период аренды
"2-комн. кв., 45 м2","Бишкек, Золотой квадрат, Чуй/Карпинская",$ 41 500,3 519 200 сом,$ 922/м2,78 204 сом/м2,Добавлено 7 дней назад,,34,от агента,"кирпичный, 1990 г.",2 этаж из 5,,45 м2,,индивид. планировка,центральное,хорошее,есть,проводной,раздельный,лоджия,бронированная,,,,,,,магистральный,,,,,,,,есть,,"

                                    Описание от продавца                            
Срочно продаю! 
2к. квартира, индивидуальная планировка, 60м2, 2 этаж из 9. Проспект Чуй/ Карпинская. 
Цена 41500$.
Т. :0779123277;0700778710
","""42.8754""","""74.6224""",https://www.house.kg/details/402393605444083c3c50-45244337,,
"3-комн. кв., 56 м2","Бишкек, Аламединский рынок",$ 30 000,2 544 000 сом,$ 536/м2,45 429 сом/м2,Добавлено 24 дня назад,Поднято 7 дней назад,160,от агента,кирпичный,1 этаж из 2,,56 м2,,индивид. планировка,без отопления,,,,раздельный,,,,,,,,,,,,частично меблирована,линолеум,,неугловая,,,,"

                                    Описание от продавца                            
Продается 3 х комнатная квартира. В районе Аламединского рынка. Ж.Жолу/ Буденого.
Не угловая, сан узел раздельный - кафель 100%., окна и двери деревянные, потолки натяжные, на стенах обои, эл. плитка, газ балон. Теплые полы. Отопления нет. 2 гаража  и кухонный гарнитур в подарок.
","""42.8865""","""74.6371""",https://www.house.kg/details/8853099603ca8c26c8929-20583585,,
"4-комн. кв., 101 м2","Бишкек, VEFA",$ 115 000,9 752 000 сом,$ 1 139/м2,96 554 сом/м2,Добавлено 11 дней назад,Поднято 7 дней назад,73,от агента,монолитный,2 этаж из 10,,101 м2,,индивид. планировка,центральное,евроремонт,,,раздельный,,бронированная,паркинг,,,,,,магистральный,,домофон,частично меблирована,ламинат,,"пластиковые окна,                                             кондиционер,                                             тихий двор",,,,"

                                    Описание от продавца                            
Продается 4х комнатная квартира Горького/Элебаева ""Bookingem"". На втором этаже. Ремонт. Сан/узел раздельный. S=101м2. 
Цена 115 000$ 
Обращаться по номерам: 0554765567, 0770211120
","""42.857""","""74.6123""",https://www.house.kg/details/7673317604eff858cde64-72778181,,
"1-комн. кв., 42.4 м2","Бишкек, Молодая-Гвардия/Фрунзе",$ 32 000,2 713 600 сом,$ 755/м2,64 000 сом/м2,Добавлено 7 дней назад,,29,от агента,"кирпичный, 2016 г.",10 этаж из 10,,42.4 м2,,элитка,центральное,хорошее,есть,проводной,совмещенный,балкон,бронированная,рядом охраняемая стоянка,,,,,,магистральный,,"домофон,                                             охрана,                                             видеонаблюдение",частично меблирована,,3 м.,"пластиковые окна,                                             комнаты изолированы,                                             тихий двор",нет,нет,обмен не предлагать,"

                                    Описание от продавца                            
Продаю 1-комнатную квартиру, 42.4м2,этаж 10/10+есть технический этаж, все коммуникации центральные, частично с мебелью, дом сдан в эксплуатацию, тех паспорт на руках,лифт работает,люди живут,дом расположен на пересечение улиц Молодая-Гвардия/Фрунзе,ЖК""Анфилада"", застройщик СК""Канат Групп""
В шаговой доступности,школы, садики, магазины,гм глобус, Фрунзе,парк молодой гвардии, транспортная развязка и.т.д
Цена: 32000$ торг символическая после осмотра!
Тел: 0550551674,0709551674
","""42.8834""","""74.5754""",https://www.house.kg/details/1137312605442f3492d20-08267252,,
"свободная планировка кв., 1000 м2",Бишкек,$ 780 850,66 216 080 сом,$ 781/м2,66 216 сом/м2,Добавлено 29 дней назад,Поднято 7 дней назад,153,от агента,монолитный,7 этаж из 7,,1000 м2,,элитка,центральное,,,,,,,,,,,,,,,"охрана,                                             видеонаблюдение,                                             консьерж",,,,,,,,"

                                    Описание от продавца                            
Многофункциональный жилой комплекс, в южной части столицы, по Советской вверх за южной магистралью по первой линии. Территория участка 75сот., красная книга. Проект класса - премиум, четыре 7-ми этажных жилых дома, бизнес центр, спортивный комплекс и отель. Проект ""безопасный дом"", видеонаблюдение по всему периметру, охрана, консьерж. Подземный/гостевой паркинг, 3 детские площадки для разных возрастных групп, беговая/вело дорожка. Территория комплекса  богата разнообразной инфраструктурой: кафе, магазины, банк, аптека, салон красоты, развивающие центры, мед. центр, спа и бассейн. Дом из монолитного каркаса с заполнением кирпич, утеплен базальтовым волокном 10 см. Наружная отделка ""Сары Таш"", алюминиевые окна теплой серии немецкого профиля. Цена за квадратный метр 780-850$ рассрочка на 3 года при взносе от 30%
","""42.8321""","""74.6073""",https://www.house.kg/details/26400706037356d7cde48-97895049,,
"Участок, 8 соток","Бишкек, 7 м-н",$ 150 000,12 720 000 сом,,,Добавлено 29 дней назад,Поднято 7 дней назад,198,от агента,,,,,8 соток,,,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продается участок 8 соток.
Есть красная книга. Все коммуникации. Есть ц/от. Можно подключить.
7 мкр. Рядом ""Глобус"". 
150.000$
","""42.8304""","""74.6217""",https://www.house.kg/details/301701603744ffaa6821-68307125,,
"Дом, 3-комн., 60 м2","Бишкек, Кудайберген",$ 40 000,3 392 000 сом,$ 667/м2,56 533 сом/м2,Добавлено 21 день назад,Поднято 7 дней назад,128,от агента,кирпичный,,,60 м2,,,,хорошее,,,совмещенный,,,,,,центральная,центральное водоснабжение,есть,,,,частично меблирована,дерево,,"пластиковые окна,                                             баня,                                             сад,                                             хозпостройки,                                             навес,                                             гараж,                                             3 фазы",,,,"

                                    Описание от продавца                            
Продается 3х комнатный дом на Кудайбергене с участком. В отличном состоянии. Окна пластиковые. Полы деревянные. Сан. узел в доме. Центральная канализация, газ, свет, вода. Электрическое отопление 3 фазка. Есть хоз постройки. Улица асфальт, широкая, освещена. Все в шаговой доступности. Магазины, базар ""Дордой моторс"", шкало, детский сад. Транспорт, до центра 20 минут.
 Звоните по телефону - 553548537, 0700129687
","""42.8796""","""74.5218""",https://www.house.kg/details/35290556041c44e03e802-97497404,,
"1-комн. кв., 18 м2",Бишкек,$ 15 500,1 314 400 сом,$ 861/м2,73 022 сом/м2,Добавлено 21 день назад,Поднято 7 дней назад,175,от агента,кирпичный,3 этаж из 5,,18 м2,,индивид. планировка,,евроремонт,,,,,,,,,,,,,,,,,,пластиковые окна,нет,нет,обмен не предлагать,"

                                    Описание от продавца                            
Гостиничного типа 3/5 этаж.  Абая/Ахунбаева. Не угловая. Отличный ремонт. Окна пластиковые. Выходят на юг. 18м2 общая площадь. С ремонтом. Есть место для стоянки машин. Есть слив.
","""42.8431""","""74.602""",https://www.house.kg/details/76557686040a4cd10de13-81471444,,
"1-комн. кв., 34 м2","Бишкек, Кок-Жар м-н, Алма-атниская",$ 29 000,2 459 200 сом,$ 853/м2,72 329 сом/м2,Добавлено 7 дней назад,,17,от агента,панельный,4 этаж из 9,,34 м2,,105 серия,центральное,среднее,возможно подключение,проводной,совмещенный,лоджия,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
1 к квартира, 105 серии, 
4 этаж из 9 ти, 
Застекленная лоджия, отопление центральное, Без газа, 
Кок-Жар. 
Цена 29000 $ 
0-555-08-70-77, 0-220-25-00-80, 0-508-08-70-77 
#купитьдом #купитьжильебишкек #купитьквартиру #квартирабишкек #недвижимость #недвижимостьбишкек #жилье #дом  #АН #АНSweethome
#куплю #обмен #продажа #квартира #недвижимость #анsweethome
","""42.8509""","""74.6336""",https://www.house.kg/details/6993281605442a86fc9a8-10756352,,
"1-комн. кв., 34 м2","Бишкек, Тунгуч м-н",$ 28 000,2 374 400 сом,$ 824/м2,69 835 сом/м2,Добавлено 7 дней назад,,19,от агента,панельный,2 этаж из 9,,34 м2,,105 серия,центральное,хорошее,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
1 комн квартра, 
105 серия, 
2 этаж из 9 ти, 
мкр Тунгуч  
Цена: 28000$ 0-555-08-70-77, 0-220-25-00-80, 0-508-08-70-77 
#купитьдом #купитьжильебишкек #купитьквартиру #квартирабишкек #недвижимость #недвижимостьбишкек #жилье #дом  #АН #АНSweethome
","""42.8543""","""74.6894""",https://www.house.kg/details/930616460543bb4c609a6-42093201,,
