title,address,price_dollar,price_som,dollar_per_m2,som_per_m2,post_date,update_date,views,Тип предложения,Дом,Этаж,Кол-во этажей,Площадь,Площадь участка,Серия,Отопление,Состояние,Телефон,Интернет,Санузел,Балкон,Входная дверь,Парковка,Коммуникации,Местоположение,Канализация,Питьевая вода,Электричество,Газ,Поливная вода,Безопасность,Мебель,Пол,Высота потолков,Разное,Возможность рассрочки,Возможность ипотеки,Возможность обмена,description,latitude,longitude,link,Тип строения
"2-комн. кв., 50 м2","Бишкек, Душанбинка, Ахунбаева/Джушанбинская",$ 43 500,3 688 800 сом,$ 870/м2,73 776 сом/м2,Добавлено 1 месяц назад,,230,от собственника,кирпичный,8 этаж из 13,,50 м2,,элитка,,евроремонт,,,,,,,,,,,,,,,частично меблирована,,,,,,,"

                                    Описание от продавца                            
Покупайте 2 ком кв.(студия). Ахунбаева/Джушанбинская. 8 из 13. 50кв.м. Застройщик Залкар Инжинеринг. С ремонтом и с мебелью.  Шикарный вид на горы. Заезжай и живи.
Цена 43500$
0700073828
0773382806
0557561260
","""42.8374""","""74.593""",https://www.house.kg/details/1989182602ccc58c40c86-02930987,
"Дом, 5-комн., 165 м2","Бишкек, Учкун-2 ж/м, Учкун",$ 89 000,7 547 200 сом,$ 539/м2,45 741 сом/м2,Добавлено 1 месяц назад,,138,от собственника,кирпичный,,2,165 м2,8 соток,,на твердом топливе,,,,,,,,,,центральная,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю дом. Мкр.Учкун от ул.Ауэзова 150 метров. Дом 2 этажа. 5 комнат. 165 кв.м.
Есть центральная канализация, газ, вода. Отопление электрическое, твердое топливо, и газ. Состояние хорошее.
Имеется подвал 5 комнат. Есть  постройка для квартирантов.
Транспорт во все направления города.
Цена 89000$
0700073828
0773382806
","""42.8666""","""74.6973""",https://www.house.kg/details/572381602cc5cfc06f79-96350061,
"3-комн. кв., 57 м2","Бишкек, Церковь, Жибек-жолу/Панфилова",$ 43 000,3 646 400 сом,$ 754/м2,63 972 сом/м2,Добавлено 1 месяц назад,,96,от собственника,"кирпичный, 1969 г.",2 этаж из 4,,"57 м2, жилая: 57 м2, кухня: 6 м2",,хрущевка,центральное,хорошее,есть,проводной,раздельный,застекленный балкон,металлическая,,,,,,,магистральный,,домофон,частично меблирована,линолеум,,,,,,"

                                    Описание от продавца                            
3 комнатная в центре, рядом две школы, детский садик, поликлиника, два супермаркета, парк Панфилова, интернет Wi-fi.
","""42.8843""","""74.6008""",https://www.house.kg/details/1704567602cc424371940-13147517,
"2-комн. кв., 70 м2","Бишкек, Золотой квадрат, Боконбаева/Исанова",$ 68 000,5 766 400 сом,$ 971/м2,82 377 сом/м2,Добавлено 1 месяц назад,,150,от агента,монолитный,9 этаж из 10,,70 м2,,элитка,центральное,евроремонт,,,,,,,,,,,,,,,,,3.2 м.,,,,,"

                                    Описание от продавца                            
Покупайте 2 ком.кв. на Боконбаева/ Исанова ЖК Поларис, застройщик Елизаветта. 9 из 10.
70кв.м. Состояние хорошее. Просторный двор, охраняемый, камеры подключены к видеодомофону. Все центральное, есть и аристон.
","""42.8658""","""74.5913""",https://www.house.kg/details/7065578602cc2b497aba4-82811539,
"1-комн. кв., 62 м2","Бишкек, Абдымомунова/Тоголок Молдо",$ 44 500,3 773 600 сом,$ 718/м2,60 865 сом/м2,Добавлено 1 месяц назад,,146,от агента,"монолитный, 2018 г.",10 этаж из 12,,62 м2,,элитка,центральное,,,,,,,,,,,,,,,,,,3 м.,,,,,"

                                    Описание от продавца                            
СРОЧНО! 1к кв 62 м2 ПСО 9/12 ЖК Флагман, район Дворца спорта 44,5 $ тел: 0708825286
Очень срочно продам! 1 к кв в  новом элитном доме.
Квартира на 9 этаже из 12
Площадь 62м2
Санузел раздельный. 
Коммуникации все центральные.
подземный паркинг;
благоустроенный огражденный двор;
бесшумный скоростной лифт;
детская игровая площадка; 
Магазины, офисы и медцентр на 1-,2-,3- этаже
Транспорт в любую точку города. 
В шаговой доступности:
- сквер Горького, Дворец спорта, стадион «Спартак», парк им. И.В. Панфилова
- университеты: Кыргызский национальный университет; Кыргызский экономический университет; Кыргызский государственный геологии.
- школы: гимназия КНУ; сш. №2 
- кинотеатр «Россия», Кыргызский государственный исторический музей  
-Кыргызский национальный драматический театр
- фитнес центры, спортивные клубы 
цена: 44 500$ 
Звоните: 0708 825286. 
Покажу в течение
","""42.8799""","""74.594""",https://www.house.kg/details/2224076602cc28cef66a5-53152063,
"2-комн. кв., 69 м2","Бишкек, скрябина/советская",$ 66 000,5 596 800 сом,$ 957/м2,81 113 сом/м2,Добавлено 4 месяца назад,Поднято 1 месяц назад,423,от собственника,монолитный,5 этаж из 12,,"69 м2, жилая: 69 м2, кухня: 14 м2",,элитка,центральное,хорошее,,проводной,совмещенный,,,,,,,,,магистральный,,,частично меблирована,,3 м.,,,,,"

                                    Описание от продавца                            
Тс групп ЖК Кереге 2 комнатная 69м2 с ремонтом, частично мебель. 5 этаж из 11-ти. Советская / Скрябина 66000 $
","""42.8502""","""74.6085""",https://www.house.kg/details/92658335fbe795e26bf29-84843692,
"4-комн. кв., 134 м2","Бишкек, логвиненко/фрунзе",$ 128 000,10 854 400 сом,$ 955/м2,81 003 сом/м2,Добавлено 2 месяца назад,Поднято 1 месяц назад,205,от собственника,монолитный,15 этаж из 16,,"134 м2, жилая: 134 м2, кухня: 13 м2",,элитка,центральное,под самоотделку (псо),возможно подключение,adsl,раздельный,балкон,бронированная,паркинг,,,,,,магистральный,,"домофон,                                             видеонаблюдение,                                             охрана",полностью меблирована,,3.2 м.,,,,,"

                                    Описание от продавца                            
Абсолютно новая 4х ком. квартира 134 кв.м. с ремонтом, на 15 этаже из 16, окна выходят на юг, восток и север - вид изумительный. 

Имеются два скоростных грузовых лифта с видеонаблюдением, двор самый лучший в Бишкеке: Детская площадка, воркаут плащадка, бассейн, беседки, скамейки и зеленые ели. 

Круглосуточная охрана, 3 заезда во двор с автоматическими воротами.

Ремонт делали для себя, использовались только дорогие и высококачественные материалы. Продаем ниже себестоимости, торг при осмотре. 

Адрес: Логвиненко 55. (Фрунзе) СК Борсан. 

Цена 128000$ торг по факту
","""42.8822""","""74.6003""",https://www.house.kg/details/237490600e6e6c81e0d3-97147315,
"1-комн. кв., 50 м2","Бишкек, Коенкозова/Чуйкова",$ 34 000,2 883 200 сом,$ 680/м2,57 664 сом/м2,Добавлено 3 месяца назад,Поднято 1 месяц назад,361,от собственника,монолитный,7 этаж из 10,,"50 м2, жилая: 50 м2, кухня: 17 м2",,элитка,центральное,под самоотделку (псо),возможно подключение,проводной,,,,паркинг,,,,,,автономный,,,,,3.2 м.,,,,,"

                                    Описание от продавца                            
Срочно продаю 1 к.кв. в завершенном доме. От Надёжного Застройщика Елизавета.  Возможно переделать в 2ку студию. ПСО. 50,39 м2. 7/10 этаж. Дом кирпичный, коммуникации все центральные!  Ориентир Боконбаева/Исанова

Срочная цена 34000$ 

📲 0770429816
","""42.8658""","""74.5913""",https://www.house.kg/details/62729365fd83d4cdb2604-33396801,
"3-комн. кв., 102 м2","Бишкек, ул.Исакеева 18/1",$ 59 160,5 016 768 сом,$ 580/м2,49 184 сом/м2,Добавлено 2 месяца назад,Поднято 1 месяц назад,245,от собственника,монолитный,7 этаж из 9,,"102 м2, жилая: 102 м2, кухня: 12 м2",,элитка,центральное,под самоотделку (псо),возможно подключение,проводной,раздельный,балкон,бронированная,,,,,,,магистральный,,"домофон,                                             видеонаблюдение",,,3 м.,,,,,"

                                    Описание от продавца                            
Продаю 3 ком квартиру 102м2 
ПСО в жилом комплексе Ала-Тоо 
7/8 этаж 
Кирпичный дом 
Жилой , техпаспорт есть 
Лифт запущен 
Цена 580$  м2
","""42.8588""","""74.6812""",https://www.house.kg/details/20021675ffe9a56ba9c15-90690261,
"3-комн. кв., 122 м2","Бишкек, Асанбай м-н, токонбаева/Сухэ Батор",$ 87 500,7 420 000 сом,$ 717/м2,60 820 сом/м2,Добавлено 2 месяца назад,Поднято 1 месяц назад,267,от собственника,монолитный,10 этаж из 14,,"122 м2, жилая: 122 м2, кухня: 15 м2",,элитка,центральное,под самоотделку (псо),,adsl,раздельный,балкон,,паркинг,,,,,,магистральный,,,,,3 м.,,,,,"

                                    Описание от продавца                            
Срочно продаю 3х комн. квартиру в Английском квартале, от застройщика ""НУРЗАМАН"".
по ул. Токомбаева / Сухэ-Батора
122,4 м2, Этаж 7 из 12, ПСО уже сдан, 2й этап.
Дом ""Премиум"" класса, своя кофейня, спорт комплекс.
Отличная инфраструктура района: маркет ""Глобус"", школа ""ГазПром"", др. школы, транспортная развязка и т.д.
Цена 87500$
Тел: 0770429816
📲 0703636638
","""42.8187""","""74.6134""",https://www.house.kg/details/72801095ffeedb50eb9a0-90744002,
