Общая площадь,Цена,Долгота,Состояние,Широта,Количество комнат,Всего этажей,Серия,Этаж,Год постройки,Санузел,Мебель,Отопление,Тип предложения
160.0,182400.0,74.6148,под самоотделку (псо),42.8167,4.0,8.0,элитка,4.0,,2 с/у и более,пустая,,от агента
74.0,65000.0,74.6401,евроремонт,42.8502,2.0,10.0,элитка,3.0,2017.0,раздельный,полностью меблирована,электрическое,от агента
116.0,117000.0,74.6214,евроремонт,42.8295,3.0,10.0,элитка,2.0,2017.0,раздельный,частично меблирована,центральное,от агента
42.0,34400.0,74.6227,хорошее,42.8313,2.0,4.0,104 серия,1.0,,совмещенный,частично меблирована,центральное,от агента
85.0,82000.0,74.5821,евроремонт,42.8409,3.0,12.0,элитка,7.0,,раздельный,пустая,смешанное,от агента
65.0,41000.0,74.5786,под самоотделку (псо),42.8833,2.0,10.0,элитка,5.0,2020.0,раздельный,пустая,на газе,от агента
89.0,120000.0,74.5896,евроремонт,42.8732,2.0,14.0,элитка,8.0,,раздельный,полностью меблирована,центральное,от собственника
33.0,27500.0,74.6258,среднее,42.8391,1.0,4.0,104 серия,4.0,,совмещенный,частично меблирована,центральное,от агента
18.0,13500.0,74.6282,среднее,42.8648,1.0,4.0,индивид. планировка,1.0,,совмещенный,,,от агента
57.0,49500.0,74.6286,хорошее,42.8276,3.0,4.0,104 серия улучшенная,3.0,1972.0,,частично меблирована,центральное,от агента
122.4,125000.0,74.5688,,42.834,4.0,9.0,индивид. планировка,2.0,2009.0,2 с/у и более,,центральное,от агента
77.0,72500.0,74.5765,евроремонт,42.8428,2.0,10.0,элитка,7.0,2016.0,раздельный,полностью меблирована,центральное,от собственника
144.0,164160.0,74.6149,под самоотделку (псо),42.8228,4.0,15.0,элитка,9.0,,2 с/у и более,пустая,на газе,от агента
47.0,26000.0,74.6166,хорошее,42.8369,1.0,10.0,элитка,6.0,2020.0,раздельный,пустая,центральное,от собственника
107.0,85000.0,74.5804,евроремонт,42.8803,3.0,10.0,элитка,8.0,2019.0,раздельный,полностью меблирована,центральное,от агента
57.0,25500.0,74.5395,под самоотделку (псо),42.8581,2.0,10.0,элитка,6.0,2021.0,совмещенный,пустая,центральное,от агента
106.0,65000.0,74.6478,хорошее,42.8151,3.0,9.0,106 серия улучшенная,6.0,2016.0,раздельный,частично меблирована,на газе,от агента
125.0,125000.0,74.6351,евроремонт,42.8161,3.0,13.0,элитка,6.0,,раздельный,частично меблирована,центральное,от агента
176.25,172725.0,74.6019,под самоотделку (псо),42.8656,4.0,14.0,элитка,8.0,,2 с/у и более,пустая,центральное,от агента
71.0,73000.0,74.5822,евроремонт,42.8403,2.0,12.0,элитка,4.0,,раздельный,полностью меблирована,центральное,от собственника
66.7,65000.0,74.5804,евроремонт,42.872,3.0,5.0,индивид. планировка,3.0,1980.0,раздельный,,центральное,от агента
68.0,39000.0,74.6122,под самоотделку (псо),42.8212,2.0,12.0,элитка,10.0,2021.0,раздельный,пустая,центральное,от собственника
