Общая площадь,Цена,Долгота,Состояние,Широта,Количество комнат,Всего этажей,Серия,Этаж,Год постройки,Санузел,Мебель,Отопление,Тип предложения
160.0,182400.0,74.6148,939,42.8167,4.0,8.0,2728,4.0,-999.0,409,716,861,2623
74.0,65000.0,74.6401,1372,42.8502,2.0,10.0,2728,3.0,2017.0,1775,771,277,2623
116.0,117000.0,74.6214,1372,42.8295,3.0,10.0,2728,2.0,2017.0,1775,1148,4104,2623
42.0,34400.0,74.6227,1510,42.8313,2.0,4.0,374,1.0,-999.0,1229,1148,4104,2623
85.0,82000.0,74.5821,1372,42.8409,3.0,12.0,2728,7.0,-999.0,1775,716,26,2623
65.0,41000.0,74.5786,939,42.8833,2.0,10.0,2728,5.0,2020.0,1775,716,272,2623
89.0,120000.0,74.5896,1372,42.8732,2.0,14.0,2728,8.0,-999.0,1775,771,4104,3143
33.0,27500.0,74.6258,338,42.8391,1.0,4.0,374,4.0,-999.0,1229,1148,4104,2623
18.0,13500.0,74.6282,338,42.8648,1.0,4.0,1189,1.0,-999.0,1229,3131,861,2623
57.0,49500.0,74.6286,1510,42.8276,3.0,4.0,51,3.0,1972.0,2341,1148,4104,2623
122.4,125000.0,74.5688,1257,42.834,4.0,9.0,1189,2.0,2009.0,409,3131,4104,2623
77.0,72500.0,74.5765,1372,42.8428,2.0,10.0,2728,7.0,2016.0,1775,771,4104,3143
144.0,164160.0,74.6149,939,42.8228,4.0,15.0,2728,9.0,-999.0,409,716,272,2623
47.0,26000.0,74.6166,1510,42.8369,1.0,10.0,2728,6.0,2020.0,1775,716,4104,3143
107.0,85000.0,74.5804,1372,42.8803,3.0,10.0,2728,8.0,2019.0,1775,771,4104,2623
57.0,25500.0,74.5395,939,42.8581,2.0,10.0,2728,6.0,2021.0,1229,716,4104,2623
106.0,65000.0,74.6478,1510,42.8151,3.0,9.0,208,6.0,2016.0,1775,1148,272,2623
125.0,125000.0,74.6351,1372,42.8161,3.0,13.0,2728,6.0,-999.0,1775,1148,4104,2623
176.25,172725.0,74.6019,939,42.8656,4.0,14.0,2728,8.0,-999.0,409,716,4104,2623
71.0,73000.0,74.5822,1372,42.8403,2.0,12.0,2728,4.0,-999.0,1775,771,4104,3143
66.7,65000.0,74.5804,1372,42.872,3.0,5.0,1189,3.0,1980.0,1775,3131,4104,2623
68.0,39000.0,74.6122,939,42.8212,2.0,12.0,2728,10.0,2021.0,1775,716,4104,3143
87.0,75000.0,74.5926,939,42.8721,3.0,13.0,2728,2.0,2020.0,409,3131,4104,3143
39.0,32000.0,74.5883,1372,42.8626,1.0,12.0,2728,10.0,2019.0,1229,716,4104,3143
61.1,60000.0,74.6368,338,42.8174,3.0,9.0,473,5.0,1991.0,1775,1148,4104,2623
44.0,32000.0,74.5491,1510,42.8636,2.0,2.0,56,2.0,-999.0,1229,771,277,2623
-999.0,500000.0,74.5898,1372,42.8697,6.0,6.0,2728,6.0,2010.0,409,1148,4104,2623
50.0,45800.0,74.6311,1372,42.8146,2.0,5.0,473,2.0,-999.0,1775,1148,4104,3143
74.0,57000.0,74.6346,1510,42.8425,3.0,9.0,473,4.0,1990.0,2341,3131,861,2623
110.0,120000.0,74.6003,1372,42.8822,4.0,13.0,2728,11.0,-999.0,409,771,4104,2623
66.6,52500.0,74.6331,1372,42.8448,2.0,9.0,208,2.0,2018.0,1775,1148,277,2623
111.6,100000.0,74.624,1510,42.8188,3.0,6.0,1189,5.0,2011.0,1775,3131,4104,2623
67.5,51000.0,74.6413,1372,42.8355,2.0,9.0,311,6.0,2015.0,2341,3131,277,2623
120.0,130000.0,74.6103,1372,42.8724,3.0,12.0,1189,8.0,2013.0,409,716,4104,2623
58.0,46500.0,74.618,1372,42.8376,3.0,4.0,374,4.0,1964.0,1229,1148,4104,2623
64.0,61800.0,74.6078,1372,42.8578,2.0,10.0,2728,2.0,2016.0,1775,1148,4104,2623
176.0,127000.0,74.5683,1510,42.8344,5.0,10.0,1189,9.0,2016.0,409,3131,4104,2623
82.2,78000.0,74.5742,1257,42.83,3.0,13.0,1189,2.0,2016.0,1775,3131,4104,2623
57.0,42500.0,74.606,1510,42.8372,3.0,4.0,374,4.0,1963.0,1229,3131,4104,2623
184.0,280000.0,74.6076,1372,42.8718,4.0,4.0,1189,2.0,2001.0,409,3131,4104,2623
62.0,47000.0,74.6364,338,42.8175,3.0,9.0,473,9.0,1989.0,1775,3131,4104,2623
54.0,50000.0,74.5808,1372,42.8789,1.0,10.0,1189,6.0,2017.0,1775,3131,4104,2623
48.0,35500.0,74.6892,1510,42.8791,2.0,5.0,473,4.0,1981.0,1775,3131,4104,2623
44.0,28500.0,74.6182,338,42.8707,1.0,9.0,311,9.0,2002.0,1229,3131,4104,2623
90.0,125000.0,74.5844,1372,42.8246,2.0,11.0,2728,6.0,2017.0,1775,771,272,2623
78.8,33000.0,74.6195,338,42.8769,5.0,5.0,1189,2.0,2008.0,1229,3131,277,3143
60.0,55000.0,74.6921,1372,42.8748,3.0,9.0,473,5.0,1983.0,1775,3131,861,2623
74.0,65000.0,74.5873,1510,42.8447,3.0,3.0,56,3.0,1962.0,2341,1148,4104,2623
110.0,110000.0,74.5896,1510,42.8775,4.0,7.0,1189,6.0,1989.0,409,1148,4104,2623
40.0,36000.0,74.6364,1510,42.8143,1.0,9.0,311,7.0,-999.0,1229,3131,4104,2623
42.0,39000.0,74.6334,1372,42.8703,1.0,9.0,1189,4.0,2019.0,1229,3131,4104,2623
56.0,36999.0,74.6416,338,42.8122,2.0,9.0,208,1.0,-999.0,2341,3131,4104,3143
55.0,50000.0,74.5666,1372,42.835,2.0,9.0,2728,1.0,-999.0,2341,3131,4104,2623
50.0,39999.0,74.6318,1372,42.8334,1.0,13.0,2728,12.0,2020.0,2341,3131,4104,3143
40.7,42000.0,74.5837,1510,42.8726,2.0,5.0,1189,3.0,1976.0,1775,3131,4104,2623
84.0,83000.0,74.5891,1372,42.8762,4.0,5.0,1189,2.0,1961.0,1775,3131,4104,2623
58.0,50000.0,74.6222,1372,42.8784,3.0,5.0,51,3.0,1981.0,1229,3131,4104,2623
58.0,42000.0,74.6127,1510,42.8333,3.0,4.0,374,1.0,1972.0,1229,1148,4104,2623
46.0,46000.0,74.5838,1372,42.8815,2.0,10.0,2728,5.0,2017.0,1229,1148,4104,2623
140.0,87000.0,74.5681,1257,42.8314,4.0,12.0,1189,10.0,2017.0,409,3131,4104,2623
84.0,79900.0,74.6268,1372,42.8131,3.0,11.0,2728,7.0,-999.0,1775,771,272,3143
62.0,68000.0,74.6316,1372,42.8282,2.0,6.0,1189,2.0,2014.0,1229,3131,26,2623
79.2,68000.0,74.6339,1372,42.8722,4.0,5.0,473,5.0,1980.0,2341,3131,4104,2623
43.0,34499.0,74.6172,1257,42.8339,2.0,4.0,374,4.0,-999.0,2341,3131,4104,3143
65.0,50000.0,74.6321,1372,42.8686,2.0,9.0,208,2.0,2018.0,1775,3131,4104,2623
78.0,70000.0,74.6903,1257,42.8546,3.0,9.0,208,5.0,2009.0,1229,1148,4104,2623
72.0,67500.0,74.5862,1257,42.8462,3.0,3.0,1189,2.0,-999.0,2341,3131,4104,2623
45.0,31500.0,74.6374,1372,42.8396,1.0,9.0,208,5.0,2015.0,1229,3131,277,2623
42.0,33000.0,74.5975,338,42.8482,2.0,4.0,161,2.0,1962.0,2341,3131,4104,2623
44.5,37000.0,74.6117,1510,42.8311,2.0,4.0,374,1.0,1971.0,1229,3131,4104,2623
78.5,70000.0,74.6897,1372,42.8543,3.0,9.0,208,5.0,2009.0,1229,1148,4104,2623
125.0,145000.0,74.6347,1372,42.8155,3.0,11.0,2728,1.0,2014.0,409,3131,4104,2623
170.0,155000.0,74.5854,338,42.8719,6.0,6.0,1189,1.0,1994.0,409,1148,4104,2623
130.0,146000.0,74.6319,1372,42.8154,4.0,6.0,2728,3.0,2009.0,1775,1148,4104,2623
68.3,62000.0,74.6298,1372,42.8377,3.0,5.0,1189,4.0,1993.0,1775,3131,4104,2623
44.5,41500.0,74.5806,1510,42.8418,2.0,10.0,1189,10.0,2017.0,409,3131,4104,2623
47.0,30500.0,74.5884,939,42.8545,1.0,10.0,2728,3.0,2018.0,2341,3131,272,3143
100.0,60000.0,74.6479,939,42.8768,3.0,10.0,2728,3.0,2019.0,2341,3131,4104,2623
58.0,44500.0,74.6442,1510,42.8763,2.0,3.0,1189,2.0,1964.0,1775,3131,4104,2623
49.0,29600.0,74.6479,939,42.8768,1.0,10.0,2728,7.0,2019.0,2341,3131,4104,2623
67.0,56000.0,74.6116,338,42.8744,3.0,12.0,1189,7.0,-999.0,2341,3131,4104,3143
150.0,97500.0,74.5884,939,42.8545,3.0,10.0,2728,3.0,2018.0,2341,3131,861,3143
120.0,78000.0,74.5884,1257,42.8545,3.0,10.0,2728,3.0,2018.0,2341,3131,861,3143
73.0,58000.0,74.5884,1372,42.8545,2.0,10.0,2728,2.0,2018.0,2341,3131,272,3143
50.0,40000.0,74.5884,1372,42.8544,1.0,10.0,2728,10.0,2018.0,1229,3131,861,3143
48.0,40000.0,74.6887,1257,42.8752,2.0,5.0,473,1.0,-999.0,2341,3131,4104,3143
46.0,44000.0,74.5929,1257,42.8694,3.0,5.0,1189,1.0,-999.0,1775,3131,4104,3143
